"primary_key","sports"
1001,"club101"
1003,"club113"
1042,"club402"
1057,"club403"
1076,"club125"
1079,"club111"
1114,"club413"
1118,"club245"
1121,"club109"
1145,"club102"
1146,"club106"
1150,"club109"
1153,"club135"
1157,"club102"
1158,"club102"
1163,"club102"
1164,"club105"
1165,"club102"
1166,"club102"
1168,"club105"
1171,"club111"
1172,"club109"
1177,"club109"
1188,"club111"
1220,"club111"
1222,"club109"
1232,"club115"
1234,"club245"
1238,"club221"
1257,"club420"
1265,"club111"
1271,"club133"
1285,"club125"
1290,"club115"
1301,"club604"
1306,"club123"
1307,"club101"
1322,"club403"
1325,"club111"
1387,"club410"
1392,"club111"
1396,"club101"
1397,"club102"
1402,"club106"
1404,"club101"
1408,"club114"
1414,"club101"
1416,"club105"
1417,"club134"
1418,"club105"
1423,"club102"
1426,"club108"
1427,"club106"
1431,"club108"
1432,"club106"
1433,"club105"
1436,"club114"
1442,"club111"
1446,"club109"
1462,"club109"
1472,"club109"
1499,"club403"
1510,"club209"
1565,"club218"
1570,"club118"
1574,"club108"
1579,"club604"
1585,"club125"
1593,"club119"
1596,"club102"
1598,"club113"
1599,"club113"
1601,"club108"
1602,"club119"
1604,"club102"
1608,"club118"
1609,"club107"
1614,"club212"
1617,"club113"
1620,"club212"
1622,"club102"
1623,"club103"
1628,"club119"
1630,"club119"
1631,"club119"
1633,"club212"
1635,"club110"
1636,"club108"
1638,"club118"
1639,"club108"
1640,"club212"
1641,"club107"
1643,"club108"
1644,"club102"
1645,"club102"
1647,"club118"
1648,"club118"
1649,"club102"
1651,"club107"
1653,"club108"
1655,"club102"
1656,"club119"
1658,"club113"
1659,"club107"
1661,"club110"
1662,"club118"
1666,"club212"
1670,"club108"
1672,"club108"
1691,"club103"
1692,"club103"
1695,"club107"
1696,"club111"
1697,"club103"
1699,"club103"
1701,"club113"
1707,"club103"
1708,"club105"
1709,"club105"
1711,"club107"
1712,"club105"
1714,"club105"
1716,"club101"
1717,"club105"
1721,"club103"
1723,"club107"
1724,"club105"
1726,"club103"
1728,"club413"
1729,"club109"
1730,"club106"
1732,"club107"
1735,"club106"
1740,"club103"
1741,"club103"
1746,"club106"
1748,"club107"
1754,"club106"
1777,"club126"
1779,"club413"
1790,"club402"
1792,"club102"
1813,"club111"
1814,"club601"
1821,"club125"
1832,"club132"
1840,"club111"
1843,"club111"
1846,"club105"
1847,"club123"
1848,"club105"
1853,"club111"
1868,"club117"
1892,"club125"
1898,"club111"
1903,"club136"
1911,"club133"
1921,"club242"
1936,"club102"
1940,"club123"
1944,"club129"
1945,"club123"
1947,"club105"
1948,"club102"
1949,"club102"
1951,"club105"
1952,"club123"
1957,"club132"
1965,"club106"
1967,"club106"
1970,"club106"
1973,"club101"
1974,"club403"
1979,"club402"
1998,"club117"
2010,"club261"
2022,"club604"
2042,"club134"
2049,"club133"
2057,"club109"
2058,"club124"
2061,"club109"
2062,"club113"
2063,"club109"
2066,"club110"
2068,"club109"
2071,"club110"
2072,"club107"
2075,"club107"
2076,"club115"
2077,"club124"
2080,"club103"
2081,"club111"
2082,"club110"
2084,"club115"
2089,"club121"
2093,"club124"
2094,"club103"
2095,"club109"
2096,"club115"
2097,"club115"
2099,"club121"
2101,"club108"
2102,"club124"
2103,"club124"
2104,"club107"
2105,"club242"
2112,"club108"
2115,"club103"
2116,"club103"
2117,"club109"
2119,"club107"
2120,"club107"
2121,"club103"
2130,"club105"
2132,"club123"
2133,"club105"
2134,"club123"
2137,"club109"
2147,"club111"
2149,"club103"
2154,"club111"
2181,"club404"
2191,"club267"
2195,"club402"
2198,"club133"
2211,"club111"
2218,"club117"
2232,"club413"
2238,"club117"
2252,"club102"
2253,"club122"
2254,"club103"
2257,"club109"
2258,"club101"
2260,"club125"
2261,"club101"
2262,"club108"
2263,"club101"
2265,"club122"
2267,"club101"
2268,"club108"
2271,"club105"
2272,"club117"
2275,"club106"
2281,"club108"
2285,"club132"
2292,"club110"
2293,"club108"
2294,"club108"
2296,"club132"
2297,"club125"
2299,"club103"
2301,"club103"
2302,"club132"
2303,"club103"
2305,"club108"
2316,"club212"
2320,"club604"
2334,"club132"
2340,"club242"
2365,"club233"
2368,"club233"
2376,"club233"
2377,"club101"
2380,"club102"
2381,"club108"
2382,"club101"
2384,"club101"
2385,"club103"
2391,"club102"
2392,"club101"
2429,"club119"
2430,"club108"
2431,"club106"
2432,"club106"
2434,"club118"
2436,"club102"
2438,"club106"
2439,"club108"
2440,"club118"
2443,"club108"
2445,"club106"
2449,"club121"
2450,"club121"
2452,"club108"
2454,"club108"
2455,"club119"
2461,"club258"
2466,"club119"
2484,"club135"
2485,"club242"
2495,"club135"
2496,"club105"
2514,"club206"
2530,"club248"
2560,"club242"
2562,"club401"
2579,"club121"
2581,"club258"
2595,"club101"
2596,"club105"
2597,"club109"
2603,"club113"
2609,"club403"
2613,"club401"
2617,"club107"
2629,"club112"
2630,"club107"
2631,"club108"
2635,"club122"
2636,"club112"
2637,"club112"
2638,"club131"
2639,"club105"
2642,"club112"
2643,"club122"
2644,"club107"
2647,"club131"
2648,"club110"
2649,"club101"
2651,"club105"
2652,"club107"
2654,"club122"
2655,"club110"
2657,"club112"
2658,"club122"
2661,"club107"
2663,"club112"
2668,"club101"
2669,"club107"
2670,"club131"
2672,"club122"
2673,"club107"
2675,"club105"
2677,"club110"
2681,"club103"
2682,"club121"
2697,"club245"
2703,"club132"
2709,"club403"
2711,"club242"
2718,"club121"
2720,"club401"
2744,"club258"
2755,"club110"
2756,"club108"
2758,"club101"
2759,"club114"
2763,"club138"
2764,"club122"
2765,"club102"
2768,"club101"
2769,"club112"
2770,"club110"
2772,"club112"
2775,"club110"
2778,"club138"
2783,"club138"
2786,"club110"
2787,"club112"
2788,"club110"
2792,"club138"
2793,"club110"
2794,"club110"
2795,"club101"
2796,"club110"
2800,"club110"
2804,"club102"
2805,"club138"
2806,"club138"
2807,"club114"
2809,"club112"
2813,"club138"
2814,"club122"
2816,"club106"
2817,"club110"
2820,"club102"
2821,"club101"
2822,"club106"
2823,"club112"
2825,"club112"
2827,"club102"
2828,"club110"
2829,"club112"
2830,"club138"
2832,"club102"
2834,"club138"
2835,"club110"
2837,"club110"
2840,"club110"
2841,"club110"
2843,"club110"
2844,"club106"
2846,"club110"
2848,"club138"
2849,"club138"
2853,"club106"
2854,"club138"
2859,"club112"
2861,"club101"
2863,"club112"
2864,"club110"
2865,"club101"
2879,"club222"
2895,"club132"
2897,"club103"
2900,"club106"
2901,"club106"
2902,"club103"
2907,"club109"
2920,"club111"
2932,"club128"
2934,"club110"
2935,"club102"
2936,"club101"
2937,"club107"
2938,"club106"
2939,"club103"
2940,"club103"
2942,"club110"
2945,"club106"
2946,"club110"
2948,"club103"
2950,"club102"
2952,"club103"
2958,"club107"
2963,"club107"
2965,"club106"
2966,"club101"
2967,"club101"
2968,"club107"
2969,"club110"
2970,"club101"
2971,"club101"
2973,"club107"
2974,"club107"
2977,"club103"
2978,"club107"
2979,"club110"
2980,"club102"
2981,"club102"
2982,"club114"
2986,"club101"
2987,"club102"
2988,"club102"
2989,"club103"
2990,"club107"
2996,"club102"
3002,"club103"
3003,"club107"
3004,"club110"
3005,"club101"
3007,"club102"
3008,"club110"
3010,"club106"
3013,"club107"
3014,"club101"
3017,"club107"
3019,"club102"
3022,"club107"
3024,"club113"
3026,"club106"
3028,"club105"
3030,"club106"
3031,"club108"
3032,"club105"
3034,"club108"
3040,"club102"
3044,"club107"
3045,"club105"
3046,"club108"
3048,"club106"
3051,"club107"
3053,"club105"
3055,"club107"
3057,"club108"
3059,"club113"
3064,"club111"
3066,"club107"
3067,"club108"
3069,"club113"
3070,"club108"
3071,"club113"
3072,"club102"
3074,"club113"
3075,"club106"
3078,"club102"
3080,"club106"
3084,"club107"
3085,"club106"
3086,"club106"
3091,"club102"
3096,"club102"
3097,"club106"
3098,"club107"
3099,"club106"
3100,"club106"
3106,"club102"
3108,"club102"
3110,"club111"
3113,"club111"
3114,"club105"
3115,"club107"
3116,"club107"
3117,"club106"
3119,"club107"
3120,"club106"
3128,"club106"
3130,"club108"
3132,"club110"
3133,"club102"
3135,"club110"
3137,"club110"
3140,"club105"
3142,"club106"
3143,"club102"
3144,"club119"
3145,"club107"
3147,"club107"
3149,"club110"
3151,"club102"
3153,"club110"
3164,"club110"
3166,"club105"
3167,"club110"
3168,"club110"
3170,"club105"
3171,"club110"
3174,"club110"
3176,"club110"
3177,"club110"
3178,"club119"
3179,"club105"
3181,"club106"
3183,"club105"
3184,"club110"
3185,"club107"
3186,"club110"
3193,"club107"
3194,"club110"
3195,"club105"
3198,"club106"
3199,"club128"
3202,"club105"
3203,"club102"
3207,"club113"
3214,"club109"
3215,"club107"
3216,"club109"
3222,"club125"
3227,"club106"
3230,"club107"
3234,"club107"
3240,"club123"
3244,"club132"
3250,"club111"
3251,"club123"
3280,"club221"
3283,"club125"
3284,"club206"
3292,"club125"
3311,"club108"
3319,"club137"
3325,"club133"
3335,"club245"
3341,"club103"
3342,"club116"
3343,"club107"
3344,"club109"
3345,"club106"
3347,"club113"
3348,"club106"
3349,"club122"
3353,"club102"
3359,"club106"
3361,"club103"
3362,"club122"
3366,"club109"
3367,"club108"
3368,"club116"
3369,"club122"
3370,"club109"
3371,"club109"
3372,"club113"
3374,"club122"
3376,"club110"
3377,"club107"
3379,"club102"
3381,"club116"
3382,"club108"
3383,"club108"
3384,"club122"
3386,"club102"
3388,"club107"
3389,"club122"
3390,"club107"
3391,"club106"
3392,"club102"
3394,"club107"
3395,"club122"
3398,"club113"
3400,"club113"
3401,"club122"
3402,"club102"
3404,"club113"
3405,"club107"
3407,"club107"
3418,"club111"
3421,"club219"
3428,"club101"
3430,"club109"
3431,"club108"
3432,"club103"
3435,"club108"
3436,"club124"
3440,"club116"
3442,"club108"
3444,"club116"
3445,"club101"
3447,"club222"
3450,"club124"
3451,"club109"
3452,"club106"
3459,"club116"
3463,"club108"
3466,"club106"
3470,"club103"
3472,"club103"
3475,"club105"
3478,"club110"
3481,"club113"
3482,"club113"
3483,"club103"
3484,"club102"
3486,"club113"
3490,"club110"
3492,"club107"
3493,"club107"
3494,"club107"
3495,"club103"
3497,"club103"
3500,"club107"
3501,"club113"
3507,"club113"
3509,"club113"
3510,"club113"
3513,"club113"
3516,"club110"
3519,"club103"
3532,"club110"
3540,"club102"
3541,"club117"
3542,"club102"
3543,"club102"
3547,"club121"
3549,"club113"
3550,"club105"
3551,"club121"
3559,"club103"
3568,"club103"
3574,"club228"
3577,"club213"
3578,"club138"
3580,"club103"
3583,"club105"
3585,"club213"
3586,"club138"
3588,"club228"
3589,"club105"
3590,"club131"
3592,"club209"
3594,"club112"
3596,"club131"
3599,"club131"
3600,"club228"
3601,"club131"
3602,"club203"
3603,"club209"
3605,"club228"
3609,"club213"
3617,"club108"
3620,"club103"
3625,"club112"
3627,"club228"
3628,"club203"
3629,"club213"
3630,"club112"
3631,"club105"
3635,"club228"
3637,"club105"
3639,"club131"
3641,"club103"
3642,"club131"
3643,"club131"
3650,"club108"
3652,"club131"
3654,"club138"
3655,"club108"
3657,"club103"
3658,"club138"
3660,"club138"
3661,"club103"
3663,"club105"
3666,"club105"
3667,"club203"
3669,"club131"
3670,"club138"
3671,"club228"
3672,"club203"
3678,"club103"
3679,"club112"
3680,"club228"
3681,"club201"
3682,"club105"
3683,"club103"
3689,"club228"
3690,"club105"
3692,"club112"
3694,"club228"
3696,"club103"
3698,"club203"
3702,"club138"
3704,"club203"
3705,"club213"
3706,"club138"
3708,"club131"
3712,"club203"
3717,"club112"
3719,"club103"
3721,"club203"
3722,"club213"
3723,"club131"
3727,"club203"
3737,"club105"
3744,"club103"
3749,"club103"
3750,"club103"
3751,"club201"
3753,"club105"
3755,"club138"
3756,"club228"
3757,"club105"
3759,"club228"
3761,"club131"
3764,"club131"
3766,"club108"
3768,"club131"
3769,"club228"
3772,"club112"
3774,"club209"
3775,"club228"
3776,"club131"
3778,"club203"
3785,"club103"
3786,"club131"
3787,"club209"
3788,"club213"
3790,"club108"
3791,"club103"
3794,"club131"
3795,"club103"
3797,"club228"
3798,"club103"
3802,"club112"
3805,"club228"
3806,"club203"
3807,"club213"
3808,"club203"
3810,"club138"
3814,"club103"
3815,"club103"
3817,"club112"
3820,"club112"
3822,"club213"
3824,"club213"
3825,"club112"
3827,"club103"
3828,"club103"
3831,"club112"
3832,"club228"
3834,"club228"
3835,"club103"
3837,"club138"
3838,"club203"
3845,"club103"
3847,"club103"
3852,"club201"
3853,"club209"
3854,"club108"
3857,"club105"
3858,"club105"
3859,"club228"
3862,"club103"
3864,"club112"
3865,"club112"
3867,"club138"
3870,"club105"
3871,"club105"
3873,"club213"
3875,"club103"
3876,"club228"
3877,"club103"
3879,"club203"
3882,"club138"
3883,"club201"
3884,"club131"
3885,"club138"
3886,"club103"
3891,"club209"
3893,"club138"
3898,"club131"
3899,"club201"
3900,"club103"
3903,"club203"
3905,"club105"
3909,"club103"
3910,"club228"
3911,"club213"
3912,"club213"
3913,"club108"
3914,"club213"
3918,"club209"
3920,"club103"
3921,"club105"
3922,"club138"
3927,"club203"
3928,"club103"
3929,"club105"
3932,"club203"
3935,"club112"
3936,"club105"
3937,"club228"
3938,"club105"
3940,"club105"
3942,"club112"
3943,"club103"
3944,"club131"
3945,"club203"
3946,"club112"
3948,"club105"
3951,"club228"
3954,"club112"
3955,"club203"
3958,"club138"
3959,"club105"
3960,"club203"
3961,"club112"
3962,"club228"
3963,"club131"
3968,"club103"
3971,"club112"
3974,"club131"
3975,"club131"
3976,"club228"
3977,"club203"
3978,"club108"
3982,"club228"
3983,"club105"
3987,"club138"
3988,"club138"
3989,"club203"
3991,"club103"
3993,"club103"
3994,"club105"
3996,"club213"
3997,"club103"
3998,"club131"
4000,"club138"
4001,"club138"
4004,"club201"
4006,"club112"
4007,"club209"
4008,"club105"
4012,"club131"
4013,"club108"
4014,"club105"
4015,"club203"
4018,"club201"
4019,"club131"
4020,"club228"
4021,"club228"
4025,"club213"
4027,"club103"
4030,"club131"
4031,"club103"
4032,"club112"
4033,"club228"
4034,"club131"
4035,"club213"
4038,"club213"
4042,"club103"
4044,"club103"
4046,"club131"
4047,"club112"
4048,"club105"
4049,"club209"
4050,"club203"
4051,"club105"
4052,"club131"
4055,"club103"
4056,"club213"
4057,"club131"
4059,"club112"
4060,"club103"
4062,"club138"
4066,"club103"
4068,"club105"
4069,"club103"
4070,"club228"
4071,"club103"
4075,"club228"
4078,"club209"
4081,"club209"
4082,"club201"
4083,"club228"
4086,"club105"
4088,"club228"
4091,"club203"
4095,"club138"
4097,"club103"
4098,"club108"
4099,"club203"
4101,"club105"
4102,"club112"
4105,"club138"
4106,"club131"
4107,"club213"
4109,"club103"
4110,"club213"
4113,"club103"
4114,"club105"
4115,"club103"
4116,"club105"
4117,"club203"
4118,"club131"
4124,"club132"
4130,"club123"
4162,"club111"
4165,"club111"
4166,"club111"
4167,"club102"
4168,"club111"
4174,"club125"
4178,"club101"
4179,"club107"
4180,"club101"
4183,"club125"
4201,"club109"
4204,"club117"
4221,"club121"
4226,"club107"
4227,"club107"
4228,"club116"
4229,"club101"
4232,"club116"
4233,"club107"
4234,"club101"
4235,"club102"
4236,"club116"
4238,"club107"
4241,"club102"
4242,"club106"
4243,"club136"
4244,"club107"
4245,"club106"
4248,"club107"
4249,"club107"
4252,"club102"
4253,"club107"
4255,"club102"
4257,"club107"
4263,"club107"
4273,"club206"
4274,"club123"
4277,"club242"
4278,"club134"
4304,"club125"
4305,"club125"
4314,"club242"
4320,"club254"
4322,"club125"
4325,"club134"
4327,"club106"
4331,"club105"
4339,"club105"
4345,"club109"
4357,"club106"
4358,"club103"
4360,"club102"
4367,"club209"
4375,"club106"
4377,"club106"
4386,"club102"
4388,"club103"
4390,"club101"
4392,"club101"
4393,"club102"
4394,"club111"
4395,"club106"
4397,"club101"
4398,"club101"
4399,"club111"
4404,"club103"
4405,"club111"
4406,"club126"
4407,"club105"
4408,"club105"
4410,"club101"
4411,"club102"
4412,"club101"
4413,"club105"
4415,"club106"
4417,"club111"
4420,"club111"
4421,"club106"
4423,"club126"
4424,"club103"
4425,"club102"
4427,"club101"
4435,"club118"
4437,"club107"
4438,"club105"
4447,"club112"
4451,"club108"
4456,"club105"
4457,"club107"
4458,"club107"
4459,"club111"
4460,"club601"
4461,"club107"
4470,"club102"
4479,"club107"
4480,"club108"
4482,"club102"
4483,"club102"
4486,"club111"
4491,"club102"
4493,"club102"
4495,"club102"
4497,"club108"
4500,"club107"
4502,"club107"
4510,"club401"
4514,"club101"
4518,"club115"
4528,"club122"
4529,"club102"
4532,"club604"
4533,"club108"
4536,"club114"
4540,"club115"
4543,"club108"
4544,"club108"
4545,"club102"
4546,"club121"
4554,"club102"
4555,"club115"
4558,"club135"
4572,"club105"
4574,"club103"
4580,"club604"
4587,"club111"
4598,"club111"
4622,"club221"
4624,"club111"
4630,"club242"
4636,"club115"
4645,"club218"
4650,"club133"
4653,"club242"
4654,"club119"
4669,"club126"
4677,"club111"
4681,"club108"
4683,"club108"
4686,"club102"
4690,"club117"
4691,"club111"
4704,"club601"
4705,"club403"
4706,"club401"
4707,"club209"
4708,"club407"
4712,"club242"
4717,"club117"
4718,"club117"
4731,"club111"
4732,"club123"
4738,"club133"
4743,"club132"
4764,"club105"
4766,"club402"
4790,"club211"
4793,"club403"
4840,"club111"
4856,"club245"
4861,"club115"
4864,"club402"
4865,"club117"
4868,"club109"
4870,"club407"
4894,"club109"
4918,"club117"
4922,"club407"
4934,"club103"
4936,"club212"
4944,"club135"
4945,"club111"
4954,"club111"
4960,"club109"
4962,"club123"
4968,"club605"
4992,"club242"
4999,"club119"
5012,"club111"
5014,"club123"
5019,"club111"
5022,"club401"
5042,"club111"
5051,"club221"
5070,"club108"
5074,"club102"
5075,"club108"
5076,"club108"
5077,"club121"
5078,"club103"
5083,"club112"
5085,"club201"
5087,"club106"
5089,"club107"
5090,"club201"
5093,"club102"
5094,"club107"
5095,"club121"
5099,"club201"
5102,"club103"
5103,"club106"
5109,"club105"
5111,"club109"
5112,"club105"
5114,"club121"
5117,"club102"
5121,"club103"
5123,"club121"
5125,"club102"
5126,"club107"
5129,"club103"
5130,"club118"
5133,"club108"
5134,"club118"
5139,"club121"
5141,"club118"
5142,"club201"
5145,"club109"
5174,"club109"
5179,"club105"
5181,"club111"
5197,"club413"
5215,"club103"
5244,"club134"
5251,"club111"
5255,"club111"
5262,"club111"
5280,"club221"
5323,"club101"
5339,"club125"
5347,"club103"
5362,"club111"
5366,"club101"
5372,"club103"
5373,"club113"
5375,"club102"
5377,"club125"
5378,"club113"
5380,"club102"
5382,"club102"
5384,"club102"
5386,"club101"
5387,"club113"
5395,"club102"
5396,"club102"
5398,"club113"
5399,"club113"
5418,"club402"
5429,"club420"
5432,"club242"
5438,"club111"
5454,"club604"
5468,"club242"
5478,"club134"
5522,"club119"
5537,"club123"
5543,"club242"
5583,"club403"
5601,"club410"
5611,"club119"
5612,"club108"
5613,"club119"
5614,"club106"
5618,"club132"
5622,"club108"
5623,"club119"
5624,"club101"
5626,"club105"
5628,"club101"
5630,"club105"
5632,"club119"
5636,"club117"
5639,"club413"
5657,"club132"
5666,"club113"
5667,"club111"
5668,"club133"
5679,"club135"
5701,"club133"
5705,"club237"
5720,"club111"
5723,"club111"
5732,"club413"
5736,"club111"
5764,"club127"
5784,"club205"
5795,"club102"
5853,"club123"
5866,"club405"
5867,"club111"
5875,"club245"
5885,"club111"
5896,"club111"
5900,"club125"
5902,"club111"
5930,"club109"
5934,"club115"
5940,"club115"
5941,"club109"
5945,"club111"
5952,"club134"
5955,"club205"
5956,"club127"
5957,"club106"
5958,"club106"
5959,"club102"
5967,"club107"
5977,"club101"
5998,"club103"
5999,"club122"
6000,"club242"
6003,"club111"
6006,"club124"
6007,"club111"
6021,"club413"
6049,"club402"
6076,"club408"
6079,"club103"
6085,"club101"
6092,"club108"
6094,"club106"
6095,"club101"
6096,"club102"
6100,"club122"
6102,"club102"
6103,"club122"
6104,"club108"
6105,"club113"
6107,"club102"
6108,"club113"
6113,"club108"
6118,"club106"
6119,"club106"
6121,"club102"
6122,"club108"
6123,"club110"
6124,"club110"
6126,"club106"
6128,"club108"
6129,"club122"
6130,"club102"
6135,"club122"
6136,"club113"
6138,"club122"
6139,"club101"
6140,"club110"
6141,"club101"
6144,"club102"
6145,"club113"
6146,"club105"
6147,"club102"
6148,"club108"
6149,"club108"
6150,"club110"
6151,"club102"
6155,"club113"
6156,"club106"
6157,"club108"
6159,"club122"
6162,"club113"
6163,"club102"
6180,"club413"
6192,"club402"
6208,"club417"
6218,"club245"
6219,"club245"
6232,"club402"
6244,"club242"
6247,"club108"
6249,"club113"
6251,"club118"
6252,"club102"
6255,"club108"
6257,"club113"
6258,"club108"
6259,"club113"
6260,"club102"
6261,"club106"
6262,"club103"
6263,"club118"
6264,"club101"
6265,"club103"
6266,"club101"
6267,"club103"
6268,"club102"
6269,"club106"
6270,"club103"
6275,"club118"
6277,"club110"
6281,"club102"
6282,"club105"
6285,"club102"
6287,"club105"
6289,"club101"
6294,"club118"
6295,"club103"
6299,"club118"
6300,"club118"
6304,"club118"
6305,"club108"
6308,"club105"
6309,"club113"
6310,"club101"
6312,"club113"
6315,"club113"
6317,"club113"
6318,"club106"
6321,"club106"
6325,"club113"
6327,"club106"
6328,"club118"
6329,"club113"
6330,"club105"
6331,"club101"
6333,"club106"
6340,"club102"
6346,"club122"
6347,"club102"
6348,"club122"
6353,"club102"
6354,"club404"
6373,"club257"
6374,"club111"
6380,"club242"
6384,"club408"
6386,"club123"
6389,"club410"
6396,"club115"
6419,"club123"
6426,"club133"
6433,"club408"
6434,"club242"
6447,"club121"
6452,"club108"
6454,"club108"
6455,"club111"
6458,"club248"
6462,"club108"
6495,"club115"
6499,"club233"
6508,"club133"
6519,"club105"
6520,"club101"
6528,"club114"
6532,"club102"
6534,"club122"
6535,"club122"
6536,"club105"
6537,"club105"
6539,"club110"
6540,"club106"
6541,"club103"
6542,"club106"
6543,"club102"
6544,"club102"
6545,"club102"
6547,"club122"
6548,"club101"
6549,"club102"
6550,"club106"
6551,"club101"
6553,"club101"
6554,"club105"
6555,"club108"
6556,"club106"
6559,"club102"
6561,"club112"
6563,"club122"
6565,"club112"
6569,"club112"
6570,"club102"
6571,"club108"
6572,"club102"
6573,"club101"
6574,"club108"
6577,"club106"
6582,"club103"
6583,"club106"
6584,"club102"
6588,"club106"
6589,"club103"
6590,"club102"
6591,"club112"
6596,"club102"
6597,"club103"
6598,"club122"
6599,"club108"
6620,"club402"
6628,"club123"
6631,"club242"
6638,"club242"
6662,"club408"
6665,"club111"
6669,"club109"
6680,"club420"
6686,"club111"
6694,"club111"
6695,"club111"
6701,"club123"
6716,"club117"
6747,"club133"
6794,"club111"
6800,"club413"
6804,"club211"
6841,"club242"
6848,"club123"
6861,"club206"
6864,"club111"
6870,"club245"
6871,"club134"
6891,"club242"
6892,"club413"
6895,"club403"
6905,"club413"
6906,"club408"
6912,"club117"
6913,"club101"
6921,"club101"
6922,"club101"
6926,"club101"
6927,"club101"
6929,"club204"
6930,"club204"
6931,"club113"
6932,"club109"
6933,"club204"
6935,"club105"
6936,"club204"
6942,"club113"
6944,"club105"
6945,"club109"
6946,"club113"
6948,"club245"
6959,"club403"
6963,"club213"
6970,"club403"
6974,"club102"
6977,"club107"
6978,"club105"
6979,"club102"
6985,"club115"
6987,"club115"
6989,"club115"
6990,"club115"
6992,"club102"
6995,"club106"
6996,"club107"
6998,"club111"
6999,"club102"
7010,"club402"
7016,"club213"
7030,"club128"
7033,"club102"
7034,"club102"
7035,"club102"
7036,"club102"
7039,"club107"
7040,"club129"
7042,"club119"
7043,"club119"
7044,"club106"
7045,"club118"
7047,"club102"
7050,"club102"
7051,"club106"
7052,"club102"
7055,"club107"
7056,"club102"
7058,"club102"
7060,"club102"
7061,"club119"
7064,"club117"
7071,"club115"
7072,"club108"
7112,"club115"
7113,"club213"
7128,"club420"
7131,"club109"
7141,"club109"
7172,"club111"
7176,"club115"
7177,"club245"
7183,"club111"
7185,"club121"
7187,"club111"
7190,"club103"
7192,"club123"
7193,"club105"
7195,"club123"
7196,"club103"
7197,"club110"
7198,"club105"
7200,"club119"
7203,"club119"
7204,"club119"
7211,"club137"
7213,"club107"
7215,"club138"
7217,"club137"
7218,"club106"
7219,"club137"
7221,"club107"
7228,"club138"
7230,"club106"
7232,"club103"
7234,"club131"
7235,"club138"
7236,"club103"
7242,"club101"
7245,"club138"
7246,"club102"
7247,"club138"
7252,"club107"
7256,"club112"
7257,"club103"
7261,"club138"
7262,"club106"
7263,"club102"
7265,"club138"
7266,"club107"
7267,"club103"
7270,"club102"
7271,"club102"
7273,"club106"
7274,"club112"
7278,"club137"
7279,"club102"
7280,"club112"
7286,"club103"
7288,"club138"
7290,"club102"
7291,"club107"
7292,"club101"
7294,"club138"
7296,"club103"
7297,"club102"
7298,"club131"
7299,"club112"
7300,"club103"
7305,"club138"
7308,"club102"
7309,"club101"
7310,"club112"
7313,"club102"
7315,"club138"
7316,"club106"
7317,"club102"
7319,"club137"
7327,"club101"
7331,"club103"
7332,"club106"
7333,"club101"
7334,"club107"
7336,"club112"
7337,"club103"
7338,"club102"
7340,"club131"
7341,"club137"
7342,"club102"
7343,"club112"
7344,"club137"
7345,"club106"
7346,"club102"
7347,"club106"
7348,"club138"
7351,"club106"
7355,"club137"
7356,"club137"
7358,"club138"
7359,"club103"
7361,"club102"
7362,"club138"
7363,"club112"
7364,"club131"
