"primary_key","working_hours","job_category","eco_sect","job_dep","TYPE_OF_CONTRACT","Wage","EMPLOYEE_COUNT","Work_description","job_condition","COMPANY_CATEGORY"
140,1094,"O","NZ","01","CDI",9635,"tr_4","684a","P","ct_9"
144,1820,"O","OZ","71","CDI",29466,"tr_4","461e","C","ct_1"
145,1804,"O","CG","01","CDI",35649,"tr_5","628d","C","ct_9"
149,1064,"O","FZ","01","CDI",15690,"tr_1","461b","C","ct_9"
155,1827,"O","QA","01","CDI",26046,"tr_2","433a","C","ct_9"
161,1899,"O","QA","74","CDI",43428,"tr_2","526b","C","ct_9"
164,1921,"O","GZ","69","CDI",55709,"tr_3","374a","C","ct_9"
171,1820,"O","PZ","01","AUT",25648,"tr_1","421b","C","ct_2"
174,1934,"O","DZ","01","CDI",35991,"tr_6","628b","C","ct_9"
181,1338,"O","IZ","01","CDI",13610,"tr_2","561b","C","ct_9"
188,1167,"O","PZ","01","CDI",10719,"tr_2","525a","P","ct_8"
194,567,"O","CA","01","CDI",9563,"tr_5","625f","P","ct_9"
208,1756,"O","CG","01","CDI",20716,"tr_5","653a","C","ct_9"
224,1825,"O","QA","01","CDI",22051,"tr_5","525d","C","ct_8"
228,1768,"O","FZ","69","CDI",24437,"tr_3","621d","C","ct_9"
232,1698,"O","CG","01","CDI",28163,"tr_2","475a","C","ct_9"
244,3000,"O","QB","01","CDI",17776,"tr_0","563a","N","ct_7"
253,854,"O","CA","39","CDI",8588,"tr_5","674c","C","ct_9"
256,2177,"O","GZ","01","CDI",32213,"tr_5","462b","C","ct_9"
269,1820,"O","FZ","69","CDI",27034,"tr_6","473b","C","ct_9"
272,1813,"O","QA","01","CDI",27472,"tr_6","431f","C","ct_8"
278,1778,"O","LZ","69","CDI",39941,"tr_2","374d","C","ct_9"
284,1572,"O","IZ","01","CDI",11005,"tr_2","377a","C","ct_9"
289,553,"O","FZ","69","CDI",7048,"tr_3","632a","C","ct_9"
295,1820,"O","QA","01","CDI",70531,"tr_6","333f","C","ct_3"
302,1820,"O","PZ","69","AUT",32797,"tr_5","341a","C","ct_1"
305,1820,"O","FZ","69","CDI",23812,"tr_3","621c","C","ct_9"
311,1309,"O","GZ","01","CDI",16342,"tr_1","433b","C","ct_9"
315,694,"O","QA","01","CDI",8380,"tr_5","525d","C","ct_8"
318,1648,"O","MC","69","CDI",21891,"tr_2","526b","C","ct_9"
328,1820,"O","DZ","01","CDI",37115,"tr_3","477b","C","ct_9"
331,2009,"O","CM","01","CDI",21347,"tr_3","674a","P","ct_9"
338,171,"O","NZ","01","CDD",2939,"tr_5","684a","C","ct_9"
345,1767,"O","MA","01","CDI",21211,"tr_2","461e","C","ct_9"
347,1779,"O","QB","01","CDI",19403,"tr_4","526d","C","ct_8"
364,322,"O","HZ","38","CDI",2952,"tr_5","641a","C","ct_9"
374,1779,"O","KZ","01","CDI",24727,"tr_2","526b","C","ct_9"
375,1897,"O","CG","01","CDI",19926,"tr_4","625c","C","ct_9"
386,2028,"O","GZ","69","CDI",35488,"tr_3","543f","C","ct_9"
394,1327,"O","GZ","01","CDI",13180,"tr_1","636d","C","ct_9"
395,1325,"O","MA","01","CDI",20741,"tr_3","461e","P","ct_9"
398,1879,"O","QA","01","CDI",22492,"tr_5","526a","C","ct_8"
400,1421,"O","MA","01","CDI",18002,"tr_2","543e","C","ct_9"
402,1701,"O","FZ","01","CDI",20461,"tr_1","632c","C","ct_9"
403,1487,"O","QA","69","CDI",14825,"tr_4","525d","C","ct_8"
406,1704,"O","NZ","69","CDI",21315,"tr_2","534a","C","ct_9"
412,1839,"O","PZ","69","CDI",26261,"tr_5","423b","C","ct_8"
417,720,"O","GZ","38","CDI",6524,"tr_3","643a","C","ct_9"
422,1820,"O","QB","01","CDI",19870,"tr_3","423b","C","ct_8"
429,910,"O","OZ","69","AUT",11477,"tr_4","425a","C","ct_2"
435,1266,"O","NZ","73","TTP",16521,"tr_1","633a","N","ct_9"
444,1046,"O","HZ","01","CDI",18099,"tr_3","641a","C","ct_9"
450,1673,"O","FZ","71","CDI",35014,"tr_3","481b","C","ct_9"
453,1459,"O","KZ","01","CDI",29555,"tr_2","545a","P","ct_5"
471,1862,"O","GZ","69","CDI",17814,"tr_2","652a","C","ct_9"
477,1343,"O","QB","01","CDI",21758,"tr_3","543b","P","ct_8"
478,1820,"O","QB","01","CDI",19020,"tr_3","423b","C","ct_8"
482,1646,"O","HZ","69","CDI",31508,"tr_4","387d","C","ct_9"
486,1964,"O","QB","69","CDI",23176,"tr_3","526d","C","ct_8"
490,1951,"O","GZ","01","CDI",51472,"tr_3","487b","C","ct_9"
503,730,"O","FZ","01","CDI",7751,"tr_1","671c","P","ct_9"
505,1820,"O","QB","38","CDI",20997,"tr_4","423b","C","ct_8"
509,1964,"O","QB","69","CDI",23423,"tr_3","526d","C","ct_8"
513,1820,"O","QA","01","CDI",17633,"tr_6","525d","C","ct_3"
518,1843,"O","QA","01","CDI",17419,"tr_4","526a","C","ct_8"
522,1932,"O","QA","69","CDI",30547,"tr_5","431d","C","ct_8"
530,1254,"O","QB","69","CDI",15291,"tr_4","526a","C","ct_9"
543,819,"O","KZ","69","CDI",10424,"tr_6","467b","P","ct_9"
550,1199,"O","GZ","01","CDI",11072,"tr_1","554e","P","ct_9"
560,1106,"O","QA","01","CDI",10920,"tr_5","525d","C","ct_9"
566,1909,"O","HZ","69","CDI",31870,"tr_3","466c","C","ct_9"
568,1820,"O","CB","01","CDI",42127,"tr_6","387d","C","ct_9"
571,1820,"O","KZ","01","CDI",47670,"tr_6","376c","C","ct_9"
578,416,"O","GZ","71","CDD",4373,"tr_1","551a","C","ct_9"
582,1734,"O","MC","69","CDI",22655,"tr_5","685a","C","ct_9"
591,1820,"O","CA","01","CDI",18288,"tr_4","674b","C","ct_9"
598,1590,"O","PZ","01","CDI",22604,"tr_1","422e","C","ct_8"
599,1662,"O","KZ","69","CDI",27536,"tr_4","467b","C","ct_9"
600,1819,"O","EZ","01","AUT",18500,"tr_3","524c","C","ct_2"
606,2003,"O","CI","01","CDI",34319,"tr_4","477b","C","ct_9"
610,1389,"O","NZ","69","TTP",15674,"tr_1","633a","C","ct_9"
617,2044,"O","OZ","71","CDI",36767,"tr_5","462e","C","ct_8"
622,2041,"O","OZ","01","CDI",24807,"tr_6","545d","C","ct_8"
625,1490,"O","CC","01","CDI",16422,"tr_2","676a","C","ct_9"
630,1214,"O","GZ","69","CDI",12316,"tr_4","634a","C","ct_9"
632,1820,"O","QB","74","CDI",20107,"tr_4","525d","C","ct_8"
633,1579,"X","QA","01","AUT",13025,"tr_1","526b","C","ct_6"
635,986,"O","QB","01","CDI",15532,"tr_3","525d","C","ct_8"
636,1820,"O","QB","01","CDI",18792,"tr_5","526a","C","ct_8"
639,1820,"O","GZ","01","CDI",26668,"tr_2","433d","C","ct_9"
651,2367,"O","QB","01","CDI",8747,"tr_1","563a","N","ct_7"
655,650,"O","OZ","69","CDD",7351,"tr_6","524c","C","ct_2"
665,1771,"O","GZ","01","CDI",39449,"tr_6","462e","C","ct_9"
674,493,"O","QA","01","CDD",5957,"tr_5","561d","C","ct_8"
689,1510,"O","GZ","01","CDI",25854,"tr_1","374a","C","ct_9"
693,1820,"O","FZ","01","CDI",35467,"tr_2","543b","C","ct_9"
696,1864,"O","CA","01","CDI",18994,"tr_5","625f","C","ct_9"
698,389,"O","FZ","01","CDI",3004,"tr_2","632g","C","ct_9"
705,1855,"O","CL","01","CDI",25306,"tr_6","624c","C","ct_9"
709,2021,"O","NZ","01","CDI",23365,"tr_3","543f","C","ct_9"
711,1254,"O","QB","69","CDI",14130,"tr_4","526a","C","ct_9"
717,1820,"O","HZ","31","CDI",54148,"tr_5","388c","C","ct_9"
718,571,"O","GZ","01","CDI",13822,"tr_1","556a","C","ct_9"
722,1820,"O","PZ","69","CDI",33255,"tr_4","421b","C","ct_8"
724,1447,"X","GZ","01","CDI",22420,"tr_5","462d","C","ct_9"
727,1757,"O","SZ","01","CDI",34133,"tr_1","372e","C","ct_8"
733,1810,"O","GZ","01","CDI",25882,"tr_2","641a","C","ct_9"
740,1820,"O","QA","01","AUT",18707,"tr_5","632k","C","ct_3"
746,1847,"O","GZ","39","CDI",23590,"tr_4","461d","C","ct_9"
753,910,"O","GZ","01","CDI",14317,"tr_1","641a","C","ct_9"
755,1208,"O","NZ","01","CDI",15017,"tr_3","552a","C","ct_9"
756,1820,"O","FZ","69","CDI",19930,"tr_1","633a","C","ct_9"
763,1678,"O","PZ","01","CDI",17459,"tr_3","422e","C","ct_8"
770,1820,"O","NZ","71","CDI",15058,"tr_6","684a","C","ct_9"
772,1680,"O","CG","01","CDI",67160,"tr_5","374d","C","ct_9"
778,1677,"O","CL","01","CDI",21515,"tr_6","622c","C","ct_9"
785,1820,"O","PZ","01","CDI",21119,"tr_2","421b","C","ct_8"
786,1380,"O","NZ","01","CDI",16108,"tr_4","461d","C","ct_9"
788,1771,"O","CM","01","CDI",16687,"tr_5","484a","C","ct_9"
789,1616,"O","GZ","01","CDI",26591,"tr_0","374b","C","ct_9"
791,1422,"O","GZ","01","CDI",13320,"tr_2","543c","C","ct_9"
801,1128,"O","SZ","01","CDI",8465,"tr_3","632b","C","ct_9"
812,1813,"O","QA","69","CDI",9048,"tr_5","542a","C","ct_8"
813,1720,"O","GZ","38","CDI",72186,"tr_4","374d","C","ct_9"
815,1001,"O","QB","01","CDI",4491,"tr_0","563a","N","ct_7"
822,1892,"O","CG","01","CDI",38009,"tr_6","484b","C","ct_9"
824,724,"O","IZ","01","TOA",6615,"tr_1","561c","C","ct_9"
827,1807,"O","LZ","69","CDI",33192,"tr_3","461c","C","ct_9"
832,447,"O","GZ","71","CDI",4356,"tr_2","551a","P","ct_9"
838,1799,"O","GZ","69","CDI",50209,"tr_3","373b","C","ct_9"
846,1430,"O","GZ","69","CDI",12565,"tr_2","554e","P","ct_9"
857,3000,"O","QB","01","CDI",25632,"tr_1","563a","N","ct_7"
860,1783,"O","CC","01","CDI",19526,"tr_5","627f","C","ct_9"
872,405,"O","RZ","01","CDI",17891,"tr_4","564b","C","ct_9"
876,857,"O","NZ","01","TTP",10635,"tr_1","676c","C","ct_9"
877,1692,"O","GZ","69","CDI",19587,"tr_3","634a","C","ct_9"
882,312,"O","CA","01","CDI",3006,"tr_1","554a","P","ct_9"
890,1819,"O","OZ","01","AUT",19867,"tr_6","524c","C","ct_2"
895,1645,"O","HZ","69","CDI",34370,"tr_5","389a","C","ct_9"
896,3000,"O","QB","01","CDI",18342,"tr_1","563a","N","ct_7"
899,1295,"A","GZ","01","APP",18231,"tr_1","683a","C","ct_9"
900,1820,"O","GZ","69","CDI",31176,"tr_1","433d","C","ct_9"
901,1785,"O","FZ","73","CDI",23493,"tr_4","632a","C","ct_9"
903,924,"O","NZ","01","TTP",9895,"tr_1","676c","C","ct_9"
906,1412,"O","CA","76","CDI",31857,"tr_6","373d","C","ct_9"
909,1820,"O","QB","01","CDI",19467,"tr_3","423b","C","ct_8"
927,1558,"O","HZ","01","CDI",19543,"tr_4","641b","C","ct_9"
930,1182,"O","HZ","01","CDI",11237,"tr_4","641a","C","ct_9"
934,1771,"O","FZ","01","CDI",34663,"tr_4","372a","C","ct_9"
935,1820,"O","QB","01","CDI",17396,"tr_3","525d","C","ct_8"
940,1438,"O","GZ","01","CDI",32947,"tr_1","382c","C","ct_9"
949,2113,"O","HZ","01","CDI",32593,"tr_0","641a","C","ct_9"
954,897,"O","NZ","01","CDI",10224,"tr_2","543h","P","ct_6"
961,1843,"O","QA","69","CDI",23451,"tr_6","534a","C","ct_9"
966,1672,"A","CG","01","APP",10822,"tr_4","628a","C","ct_9"
971,1090,"O","SZ","01","CDI",9867,"tr_1","562b","C","ct_9"
978,2029,"O","CG","01","CDI",33453,"tr_1","481b","C","ct_9"
981,351,"O","IZ","01","CDI",3411,"tr_1","561c","C","ct_9"
988,1713,"O","FZ","01","CDI",22521,"tr_5","621c","C","ct_9"
991,1587,"O","CK","38","CDI",21788,"tr_1","628b","C","ct_9"
998,169,"O","NZ","69","TTP",3978,"tr_1","684a","C","ct_9"
1001,2112,"O","GZ","69","CDI",34106,"tr_5","462b","C","ct_9"
1003,1768,"O","LZ","01","CDI",19336,"tr_6","461f","C","ct_9"
1015,1746,"O","QB","01","CDI",19676,"tr_5","434f","C","ct_8"
1016,1813,"O","NZ","71","CDI",26561,"tr_1","462e","C","ct_9"
1018,1744,"O","QA","02","CDI",24772,"tr_6","432b","C","ct_8"
1019,1833,"O","HZ","02","CDI",25644,"tr_3","333c","C","ct_9"
1039,757,"O","GZ","02","CDD",6137,"tr_3","551a","P","ct_9"
1044,1864,"O","HZ","91","CDI",23225,"tr_3","644a","C","ct_9"
1046,908,"O","FZ","60","CDI",8250,"tr_1","461b","P","ct_9"
1060,1847,"O","HZ","02","CDI",21768,"tr_5","451a","C","ct_9"
1062,2183,"O","HZ","62","CDI",20979,"tr_5","641a","C","ct_9"
1063,2261,"O","OZ","36","AUT",16478,"tr_6","532a","C","ct_1"
1067,1819,"O","QB","02","AUT",23332,"tr_5","526a","C","ct_2"
1069,1950,"O","OZ","02","CDI",26348,"tr_5","376f","C","ct_8"
1070,1502,"O","SZ","02","CDI",11724,"tr_1","562b","C","ct_6"
1075,1512,"O","FZ","02","CDI",26506,"tr_1","463e","C","ct_9"
1083,1648,"O","FZ","02","CDI",17444,"tr_1","542a","C","ct_6"
1085,1951,"O","GZ","51","CDI",27238,"tr_2","462b","C","ct_9"
1090,1898,"O","CE","02","CDI",30897,"tr_5","478b","C","ct_9"
1093,1849,"O","OZ","02","CDI",51138,"tr_3","344b","C","ct_4"
1099,1611,"O","CL","02","CDI",17627,"tr_5","462c","C","ct_9"
1100,1513,"O","CF","22","AUT",39217,"tr_2","385a","C","ct_9"
1107,1789,"O","QA","02","AUT",25982,"tr_6","632k","C","ct_3"
1109,1832,"O","HZ","02","CDI",16007,"tr_5","643a","C","ct_9"
1112,1560,"O","NZ","02","TTP",12508,"tr_1","676a","C","ct_9"
1114,1718,"O","FZ","77","CDI",20713,"tr_4","621b","C","ct_9"
1118,1254,"O","QB","02","CDI",3704,"tr_1","563a","N","ct_7"
1129,1820,"O","NZ","92","CDI",23823,"tr_2","478c","C","ct_9"
1145,1414,"O","QB","02","CDI",21831,"tr_3","434d","C","ct_8"
1146,1579,"O","CE","16","CDI",57832,"tr_3","372a","C","ct_9"
1158,838,"O","SZ","02","CDI",7372,"tr_1","562b","P","ct_6"
1163,1456,"O","GZ","02","CDI",15651,"tr_4","553c","P","ct_9"
1165,1821,"O","QB","02","CDI",23541,"tr_4","526a","C","ct_9"
1166,3000,"O","QB","02","CDI",13139,"tr_1","563a","N","ct_7"
1168,1714,"O","CE","02","CDI",31368,"tr_3","625c","C","ct_9"
1171,1820,"O","KZ","75","CDI",40248,"tr_1","461d","C","ct_9"
1178,1852,"O","CE","02","CDI",23583,"tr_3","674a","C","ct_9"
1188,1132,"O","NZ","02","TTP",16058,"tr_1","624c","C","ct_9"
1195,1891,"O","HZ","02","CDI",18959,"tr_3","641b","C","ct_9"
1199,475,"O","QB","59","CDI",6837,"tr_5","434a","P","ct_8"
1206,1745,"O","IZ","02","CDI",13239,"tr_2","561d","C","ct_9"
1208,1427,"O","SZ","02","CDI",14420,"tr_1","562b","C","ct_9"
1209,1261,"O","QA","59","CDI",10222,"tr_6","523d","P","ct_3"
1212,1558,"O","CM","80","CDI",25230,"tr_5","475a","C","ct_9"
1220,1900,"O","GZ","02","CDI",18009,"tr_6","551a","C","ct_9"
1224,678,"O","IZ","02","CDI",6640,"tr_2","561c","C","ct_9"
1235,1318,"O","NZ","93","CDI",12729,"tr_4","676e","C","ct_9"
1238,1888,"O","QB","02","CDI",19286,"tr_4","525d","C","ct_8"
1241,1721,"O","GZ","02","CDI",25543,"tr_2","487a","C","ct_9"
1243,1645,"O","CH","02","CDI",16950,"tr_4","673c","C","ct_9"
1251,1484,"O","GZ","02","CDI",13429,"tr_1","682a","C","ct_9"
1252,795,"O","FZ","02","CDI",8930,"tr_0","634b","C","ct_9"
1257,1309,"O","GZ","02","CDI",12711,"tr_1","554f","P","ct_8"
1259,1845,"O","OZ","02","AUT",26305,"tr_5","524c","C","ct_2"
1260,1581,"O","FZ","51","CDI",31304,"tr_5","481b","C","ct_9"
1271,1580,"O","CA","02","CDI",20370,"tr_4","625g","C","ct_9"
1281,1719,"O","KZ","02","CDI",16803,"tr_1","526b","C","ct_9"
1285,2200,"O","NZ","02","CDI",29132,"tr_1","691e","C","ct_8"
1289,610,"O","NZ","02","CDI",7534,"tr_0","555a","C","ct_9"
1293,1790,"O","CA","02","CDI",16119,"tr_6","674c","C","ct_9"
1313,1583,"O","GZ","02","CDI",17129,"tr_1","554a","C","ct_9"
1325,1743,"O","NZ","02","CDI",14604,"tr_1","631a","C","ct_9"
1331,1862,"O","CG","02","CDI",21263,"tr_5","621e","C","ct_9"
1332,609,"X","PZ","02","AUT",5364,"tr_5","564b","P","ct_1"
1334,1489,"O","NZ","02","CDI",12534,"tr_3","684a","P","ct_9"
1337,1820,"O","GZ","02","CDI",18978,"tr_1","433d","C","ct_9"
1341,1582,"O","FZ","59","CDI",27569,"tr_3","481b","C","ct_9"
1346,1508,"O","GZ","02","CDI",31167,"tr_1","344d","P","ct_9"
1352,3000,"O","TZ","94","CDI",31765,"tr_1","563c","N","ct_7"
1360,1780,"O","CI","02","CDI",16753,"tr_3","622a","C","ct_9"
1364,925,"O","NZ","60","TTP",10428,"tr_0","676a","N","ct_9"
1375,1820,"O","HZ","60","CDI",20293,"tr_6","546c","C","ct_9"
1382,1097,"O","CA","80","TOA",13916,"tr_6","676e","C","ct_9"
1389,3000,"O","QB","02","CDI",9919,"tr_1","563a","N","ct_7"
1391,416,"O","QA","02","CDI",7716,"tr_6","432b","P","ct_3"
1397,1789,"O","GZ","77","CDI",17312,"tr_4","676c","C","ct_9"
1416,1653,"O","PZ","02","CDI",14082,"tr_4","422e","C","ct_8"
1418,1162,"O","NZ","02","TTP",10917,"tr_1","551a","C","ct_9"
1423,873,"O","NZ","02","CDI",6328,"tr_5","684a","P","ct_9"
1433,1820,"O","OZ","02","CDI",24524,"tr_5","434c","C","ct_8"
1443,1119,"A","GZ","02","APP",8588,"tr_0","685a","C","ct_6"
1444,1663,"O","IZ","80","CDI",21952,"tr_4","488b","C","ct_9"
1455,1635,"O","NZ","51","CDI",18031,"tr_3","684a","C","ct_9"
1463,802,"O","QA","02","CDI",16711,"tr_6","434a","C","ct_3"
1466,1447,"O","QB","02","CDI",12080,"tr_4","525d","P","ct_9"
1472,1456,"O","QB","02","CDI",18169,"tr_5","434b","P","ct_8"
1475,1820,"O","HZ","02","CDI",20456,"tr_3","451a","C","ct_9"
1481,1381,"O","CH","08","CDI",14957,"tr_4","673c","C","ct_9"
1486,1045,"O","GZ","02","CDI",9311,"tr_1","552a","P","ct_9"
1494,1814,"O","QB","02","CDI",38768,"tr_3","434a","C","ct_8"
1495,1820,"O","HZ","02","CDI",19106,"tr_3","652a","C","ct_9"
1504,1606,"O","FZ","77","CDI",18956,"tr_3","641a","C","ct_9"
1508,607,"O","MA","92","CDI",8412,"tr_0","388a","C","ct_9"
1513,1824,"O","IZ","02","CDI",15771,"tr_1","561b","C","ct_9"
1525,1825,"O","QB","02","CDI",39391,"tr_3","434a","C","ct_8"
1528,1477,"O","QB","51","CDI",15453,"tr_1","434b","C","ct_9"
1536,1814,"O","CA","02","CDI",29095,"tr_5","477b","C","ct_9"
1546,705,"O","GZ","02","CDI",5430,"tr_3","641a","C","ct_9"
1547,1710,"O","QA","51","CDI",20485,"tr_4","526a","P","ct_8"
1559,1820,"O","QB","02","CDI",20208,"tr_4","525d","C","ct_9"
1568,1836,"O","CH","02","CDI",20734,"tr_4","624d","C","ct_9"
1570,1819,"O","KZ","02","CDI",49484,"tr_6","467a","C","ct_9"
1573,919,"O","NZ","02","CDI",11608,"tr_2","534a","C","ct_9"
1587,1470,"O","QA","02","CDI",14631,"tr_2","526a","P","ct_8"
1599,1735,"O","CE","02","CDI",56818,"tr_6","475b","C","ct_9"
1602,2071,"O","GZ","95","CDI",28092,"tr_2","477a","C","ct_9"
1609,1365,"O","GZ","02","CDI",13455,"tr_4","477a","C","ct_9"
1617,1820,"O","CB","02","CDI",16311,"tr_4","654b","C","ct_9"
1628,1571,"O","CA","02","CDI",20340,"tr_4","543g","C","ct_9"
1630,627,"O","NZ","93","CDI",7380,"tr_5","468a","C","ct_9"
1631,1680,"O","CC","02","CDI",45619,"tr_2","373d","C","ct_9"
1638,2059,"O","NZ","02","CDI",24909,"tr_3","641a","C","ct_9"
1639,1435,"O","CG","02","CDI",16302,"tr_5","674a","C","ct_9"
1640,1781,"O","GZ","02","CDI",16188,"tr_3","652a","C","ct_9"
1647,1694,"O","FZ","02","CDI",50521,"tr_5","481b","C","ct_9"
1648,638,"O","HZ","02","CDI",7003,"tr_5","641a","C","ct_9"
1658,2158,"O","GZ","75","CDI",27377,"tr_3","636a","C","ct_9"
1661,925,"O","OZ","02","TOA",8802,"tr_4","451e","P","ct_1"
1666,1798,"O","FZ","51","CDI",18274,"tr_5","637d","C","ct_9"
1672,1849,"O","OZ","02","CDI",68644,"tr_3","344b","C","ct_4"
1674,1630,"O","GZ","02","CDI",18663,"tr_1","554e","C","ct_6"
1691,3000,"O","QB","02","CDI",30019,"tr_4","461f","C","ct_9"
1692,549,"O","QA","02","CDD",6378,"tr_6","431f","C","ct_9"
1697,1583,"O","CC","02","CDI",18860,"tr_3","627f","C","ct_9"
1701,1946,"O","CL","02","CDI",20598,"tr_2","673c","C","ct_9"
1707,1017,"X","OZ","02","AUT",8496,"tr_6","525c","P","ct_2"
1721,3000,"O","QB","02","CDI",25647,"tr_1","563a","N","ct_7"
1723,1751,"O","GZ","02","CDI",24613,"tr_1","433d","C","ct_9"
1726,1808,"O","CL","60","CDI",23511,"tr_5","673c","C","ct_9"
1728,2111,"O","HZ","02","CDI",25524,"tr_3","641a","C","ct_9"
1729,2524,"O","HZ","02","CDI",23450,"tr_6","641a","C","ct_9"
1746,1675,"O","CG","51","CDI",14081,"tr_5","626a","C","ct_9"
1758,1993,"O","HZ","02","CDI",20309,"tr_5","641a","C","ct_9"
1759,1366,"O","CJ","02","CDI",14670,"tr_5","676e","C","ct_9"
1768,1560,"O","OZ","60","CDI",15953,"tr_5","524c","P","ct_2"
1777,1820,"O","HZ","60","CDI",17754,"tr_6","676c","C","ct_9"
1778,604,"O","QB","02","CDD",4812,"tr_3","526c","C","ct_8"
1781,2109,"O","CG","02","CDI",24771,"tr_1","652a","C","ct_9"
1786,1896,"O","QB","59","CDI",23764,"tr_2","434d","C","ct_8"
1788,1990,"O","QA","80","CDI",21831,"tr_3","526e","C","ct_9"
1789,1819,"O","QA","02","CDI",23481,"tr_6","432b","C","ct_3"
1790,999,"O","LZ","02","CDI",9820,"tr_1","376g","C","ct_9"
1809,936,"O","QA","02","CDI",10905,"tr_4","526a","P","ct_8"
1813,1394,"O","CL","95","CDI",22883,"tr_5","676e","C","ct_9"
1816,1860,"O","CH","02","CDI",22551,"tr_3","653a","C","ct_9"
1826,1810,"O","QB","03","CDI",20770,"tr_5","526d","C","ct_8"
1835,1855,"O","GZ","03","CDI",19186,"tr_3","551a","C","ct_9"
1843,1855,"O","QB","03","CDI",29268,"tr_2","434a","C","ct_8"
1848,1974,"O","QB","03","CDI",6343,"tr_0","563a","N","ct_7"
1858,1620,"O","KZ","03","CDI",20514,"tr_1","467a","P","ct_9"
1863,1996,"O","GZ","03","CDI",24493,"tr_6","462b","C","ct_9"
1865,1729,"O","CL","03","CDI",39908,"tr_6","385a","C","ct_9"
1867,1918,"O","GZ","03","CDI",18793,"tr_6","551a","C","ct_9"
1868,1593,"O","QB","03","CDI",18668,"tr_4","526a","C","ct_8"
1870,1820,"O","OZ","03","CDI",29210,"tr_6","333f","C","ct_2"
1883,1701,"O","FZ","03","CDI",17523,"tr_1","632a","C","ct_9"
1885,1605,"O","GZ","03","CDI",34896,"tr_2","462b","C","ct_9"
1890,1584,"O","QA","03","AUT",21720,"tr_6","433a","P","ct_3"
1891,1442,"O","GZ","03","CDI",13141,"tr_2","682a","C","ct_9"
1897,1435,"O","GZ","63","CDI",25686,"tr_0","477c","C","ct_9"
1900,1501,"O","QB","71","CDI",14535,"tr_6","563b","P","ct_8"
1903,1896,"O","QA","03","CDI",20568,"tr_6","526a","C","ct_9"
1904,1440,"O","QB","03","CDI",19307,"tr_4","525d","C","ct_8"
1906,1438,"O","QB","03","CDI",12016,"tr_5","563b","P","ct_8"
1919,1928,"O","QB","58","CDI",23746,"tr_3","526d","C","ct_8"
1921,1596,"O","SZ","63","CDI",22434,"tr_1","372a","P","ct_4"
1930,1659,"O","HZ","03","CDI",17072,"tr_4","546b","C","ct_9"
1933,1219,"O","LZ","03","CDI",13547,"tr_1","543b","P","ct_9"
1944,1820,"O","QB","03","CDI",38982,"tr_4","431a","C","ct_8"
1948,1762,"O","EZ","63","CDI",21463,"tr_2","641a","C","ct_9"
1960,2045,"O","KZ","03","CDI",24907,"tr_2","467a","C","ct_9"
1963,3000,"O","QB","03","CDI",14721,"tr_1","563a","N","ct_7"
1969,1820,"O","FZ","03","CDI",19175,"tr_1","681a","C","ct_9"
1972,1820,"O","OZ","03","AUT",22277,"tr_5","523b","C","ct_1"
